  5.3661609e-002  2.9007237e+001  1.3805377e+000
  5.7035889e-002  2.8918169e+001  1.3535935e+000
  6.0622321e-002  2.8840902e+001  1.2950930e+000
  6.4434266e-002  2.8761648e+001  1.4518598e+000
  6.8485590e-002  2.8666529e+001  1.4047136e+000
  7.2790967e-002  2.8531303e+001  1.1595124e+000
  7.7367501e-002  2.8318117e+001  1.0780102e+000
  8.2231790e-002  2.7999251e+001  1.1832434e+000
  8.7400633e-002  2.7563962e+001  1.1402586e+000
  9.2895080e-002  2.6998723e+001  1.1488140e+000
  9.8735673e-002  2.6286253e+001  1.0130553e+000
  1.0494285e-001  2.5403577e+001  9.2739422e-001
  1.1154000e-001  2.4331419e+001  7.8188492e-001
  1.1855189e-001  2.3059986e+001  7.4039218e-001
  1.2600475e-001  2.1603196e+001  6.4511958e-001
  1.3392567e-001  1.9990000e+001  5.5243926e-001
  1.4234401e-001  1.8258145e+001  5.0360784e-001
  1.5129183e-001  1.6453094e+001  4.5242229e-001
  1.6080160e-001  1.4623815e+001  3.6984887e-001
  1.7090974e-001  1.2815271e+001  3.4549955e-001
  1.8165194e-001  1.1074713e+001  3.1627597e-001
  1.9307007e-001  9.4435299e+000  2.6389052e-001
  2.0520509e-001  7.9516871e+000  2.3248089e-001
  2.1810339e-001  6.6191685e+000  1.9686191e-001
  2.3181127e-001  5.4528340e+000  1.6513323e-001
  2.4638068e-001  4.4549244e+000  1.4613840e-001
  2.6186538e-001  3.6226997e+000  1.4324497e-001
  2.7832325e-001  2.9437853e+000  1.1798709e-001
  2.9581428e-001  2.3955729e+000  9.0085015e-002
  3.1440420e-001  1.9530083e+000  6.5913912e-002
  3.3416134e-001  1.5949337e+000  5.1791403e-002
