    4000.0      0.20408    
    4260.0      0.27158    
    4520.0      0.33909    
    4780.0      0.40361    
    5040.0      0.46355    
    5300.0      0.51831    
    5560.0      0.56783    
    5820.0      0.61193    
    6080.0      0.65098    
    6340.0      0.68544    
    6600.0      0.71598    
    6860.0      0.74282    
    7120.0      0.76643    
    7380.0      0.78721    
    7640.0      0.80551    
    7900.0      0.82166    
    8160.0      0.83595    
    8420.0      0.84865    
    8680.0      0.85997    
    8940.0      0.87004    
    9200.0      0.87900    
    9460.0      0.88700    
    9720.0      0.89415    
    9980.0      0.90055    
    10240.      0.90635    
    10500.      0.91157    
    10760.      0.91628    
    11020.      0.92054    
    11280.      0.92439    
    11540.      0.92789    
    11800.      0.93106    
    12060.      0.93395    
    12320.      0.93658    
    12580.      0.93899    
    12840.      0.94120    
    13100.      0.94322    
    13360.      0.94508    
    13620.      0.94677    
    13880.      0.94833    
    14140.      0.94976    
    14400.      0.95107    
    14660.      0.95229    
    14920.      0.95340    
    15180.      0.95447    
    15440.      0.95547    
    15700.      0.95640    
    15960.      0.95726    
    16220.      0.95806    
    16480.      0.95880    
    16740.      0.95950    
    17000.      0.96015    
    17260.      0.96075    
    17520.      0.96132    
    17780.      0.96184    
    18040.      0.96234    
    18300.      0.96279    
    18560.      0.96322    
    18820.      0.96362    
    19080.      0.96400    
    19340.      0.96435    
    19600.      0.96468    
    19860.      0.96499    
    20120.      0.96529    
    20380.      0.96560    
    20640.      0.96589    
    20900.      0.96616    
    21160.      0.96642    
    21420.      0.96667    
    21680.      0.96690    
    21940.      0.96712    
    22200.      0.96733    
    22460.      0.96752    
    22720.      0.96771    
    22980.      0.96789    
    23240.      0.96806    
    23500.      0.96822    
    23760.      0.96837    
    24020.      0.96851    
    24280.      0.96865    
    24540.      0.96878    
    24800.      0.96890    
    25060.      0.96902    
    25320.      0.96913    
    25580.      0.96924    
    25840.      0.96934    
    26100.      0.96944    
    26360.      0.96953    
    26620.      0.96962    
    26880.      0.96971    
    27140.      0.96979    
    27400.      0.96986    
    27660.      0.96994    
    27920.      0.97001    
    28180.      0.97007    
    28440.      0.97014    
    28700.      0.97020    
    28960.      0.97026    
    29220.      0.97031    
    29480.      0.97036    
    29740.      0.97042    
    30000.      0.97046    
