  2.8000000e-002  3.0601612e+001  4.9724720e-001
  3.4000000e-002  2.9848078e+001  4.3520261e-001
  4.0000000e-002  2.9233235e+001  3.9303719e-001
  4.6000000e-002  2.8772615e+001  3.5998928e-001
  5.2000000e-002  2.8439216e+001  3.3549679e-001
  5.8000000e-002  2.8334285e+001  3.1538841e-001
  6.4000000e-002  2.8273219e+001  3.0106162e-001
  7.0000000e-002  2.8219949e+001  2.8693697e-001
  7.6000000e-002  2.8109665e+001  2.7338035e-001
  8.2000000e-002  2.7841721e+001  2.6183510e-001
  8.8000000e-002  2.7465936e+001  2.5011920e-001
  9.4000000e-002  2.6930494e+001  2.3739478e-001
  1.0000000e-001  2.6307603e+001  2.2503518e-001
  1.0600000e-001  2.5504205e+001  2.1153086e-001
  1.1200000e-001  2.4611665e+001  2.0021005e-001
  1.1800000e-001  2.3613368e+001  1.8814329e-001
  1.2400000e-001  2.2495513e+001  1.8180160e-001
  1.3000000e-001  2.1424200e+001  1.7601999e-001
  1.3600000e-001  2.0228467e+001  1.6980869e-001
  1.4200000e-001  1.9013854e+001  1.7300666e-001
  1.4800000e-001  1.7868687e+001  1.7586591e-001
  1.5400000e-001  1.6701422e+001  1.7972079e-001
  1.6000000e-001  1.5489073e+001  1.8460711e-001
  1.6600000e-001  1.4468534e+001  2.0126172e-001
  1.7200000e-001  1.3492673e+001  2.2841681e-001
  1.7800000e-001  1.2382344e+001  2.7222199e-001
  1.8400000e-001  1.1484730e+001  1.0751312e-001
  1.9000000e-001  1.0601289e+001  1.1275261e-001
  1.9600000e-001  9.8148338e+000  1.1624105e-001
  2.0200000e-001  8.9908596e+000  1.2119620e-001
  2.0800000e-001  8.3622546e+000  1.2473707e-001
  2.1400000e-001  7.6264462e+000  1.3181748e-001
  2.2000000e-001  7.0684359e+000  1.4080010e-001
  2.2600000e-001  6.6516804e+000  1.6175380e-001
  2.3200000e-001  5.9862940e+000  1.7943367e-001
  2.3800000e-001  5.6136519e+000  2.2942734e-001
